ISIN,Name,BSE,NSE,Fair Value,Industry
INE529F01019,Signet Industries Limited,512131,SIGNETIND,10,Plastic Products
INE173A01025,Standard Industries Limited,530017,SIL,5,Commodity Chemicals
INE923A01015,SIL Investments Limited,521194,SILINV,10,Textiles
INE270C01017,Simbhaoli Sugars Limited,507446,SIMBHSUGAR,10,Sugar
INE898F01018,Simplex Projects Limited,532877,SIMPLEX,10,Construction And Engineering
INE658D01011,Simplex Castings Limited,513472,SIMPLEXCAS,10,Other Industrial Products
INE059B01024,Simplex Infrastructures Limited,523838,SIMPLEXINF,2,Construction And Engineering
INE429C01035,Sintex Industries Limited,502742,SINTEX,1,Plastic Products
INE202C01010,The Sirpur Paper Mills Limited,502455,SIRPAPER,10,Paper And Paper Products
INE686I01011,Sita Shree Food Products Limited,532961,SITASHREE,10,Other Food Products
INE965H01011,Siti Cable Network Limited,532795,SITICABLE,1,Broadcasting And Cable TV
INE076B01010,Siyaram Silk Mills Limited,503811,SIYSIL,10,Textiles
INE002L01015,SJVN Limited,533206,SJVN,10,Electric Utilities
INE640A01023,SKF India Limited,500472,SKFINDIA,10,Other Industrial Goods
INE411D01015,SKM Egg Products Export (India) Limited,532143,SKMEGGPROD,10,Other Food Products
INE180K01011,SKS Microfinance Limited,533228,SKSMICRO,10,Finance (including NBFCs)
INE772A01016,S. Kumars Nationwide Limited,514304,SKUMARSYNF,10,Textiles
INE178C01020,Smartlink Network Systems Limited,532419,SMARTLINK,2,IT Networking Equipment
INE294B01019,SML Isuzu Limited,505192,SMLISUZU,10,Commercial Vehicles
INE215G01021,Sujana Metal Products Limited,513414,SMPL,5,Iron And Steel/Interm.Products
INE812G01017,SMS Pharmaceuticals Limited,532815,SMSPHARMA,10,Pharmaceuticals
INE734N01019,Snowman Logistics Limited,538635,SNOWMAN,10,Transportation - Logistics
INE671H01015,Sobha Developers Limited,532784,SOBHA,10,Realty
INE863A01013,Software Technology Group International Limited,532293,SOFTTECHGR,10,IT Software Products
INE343H01011,Solar Industries India Limited,532725,SOLARINDS,10,Specialty Chemicals
INE355A01028,Somany Ceramics Limited,531548,SOMANYCERA,2,Furniture-Furnishing-Paints
INE314C01013,Soma Textiles & Industries Limited,521034,SOMATEX,10,Textiles
INE643A01035,Sona Koyo Steering Systems Limited,520057,SONASTEER,1,Auto Parts And Equipment
INE269A01021,Sonata Software Limited,532221,SONATSOFTW,1,IT Consulting And Software
INE035D01012,Savita Oil Technologies Limited,524667,SOTL,10,Refineries/ Petro-Products
